Plant url,Common name,Common Name - MBG,Botanical name,Type,Family,Native range,Zone,Zone low,Zone high,Height,Height low,Height high,Unit,Spread,Spread low,Spread high,Unit,Bloom Time,Bloom Description,Sun,Water,Maintenance,Suggested Use,Flower,Attracts,Fruit,Leaf,Other,Tolerate,Culture,Noteworthy characteristics,Problems,Garden uses
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=285435&isprofile=1&basic=Phlox+Paniculata,Garden Phlox,,Phlox Paniculata, Herbaceous perennial, Polemoniaceae, Eastern United States, 4 to 8, 4 , 8, 2.00 to 4.00 feet, 2.00 ,4.00,feet, 2.00 to 3.00 feet, 2.00 ,3.00,feet, July to September, Pink-purple to white, Full sun to part shade, Medium, Medium,," Showy, Fragrant"," Birds, Hummingbirds, Butterflies",,,," Deer, Clay Soil, Black Walnut","
Culture
Grow in moderately fertile, medium moisture, well-drained soil in full sun to part shade.  Best in full sun.  Prefers rich, moist, organic soils.  Also prefers moderate summer temperatures over the heat and humidity of the deep South.  Needs good air circulation (space well and thin out stems as needed) to help combat potential powdery mildew problems.  Intolerant of drought and needs to be watered in dry spells.  Avoid overhead watering however.  Appreciates a summer mulch which helps keep the root zone cool.  For winter, cut plants to the ground and remove from the garden plus clean up all plant areas in order to minimize possible powdery mildew infection for the following growing season. Remove faded flower panicles to prolong bloom period and to prevent unwanted self-seeding (cultivars generally do not come true from seed).
","
Noteworthy Characteristics
Phlox paniculata, commonly known as garden phlox, is native from New York to Iowa south to Georgia, Mississippi and Arkansas.   It has escaped gardens and naturalized into areas beyond its original native range.  In Missouri, it is typically found south of the Missouri River in moist or rich low woods, thickets, alluvial banks and gravel bars along streams and bluff bases (Steyermark).  This is an upright perennial that grows in a clump to 2-4' tall and to 2-3' wide on stiff stems clad with conspicuously veined, opposite, pointed, elliptic, deep green leaves (to 4-6"" long).   Fragrant, tubular, pink-purple to white florets (to 3/4” diameter) are densely packed in large, tiered, domed terminal clusters (to 6-8"") over a long July to September bloom period.  Each individual floret has a long corolla tube and five flat petal-like lobes.  Butterflies love the flowers.  

A large number of garden phlox cultivars in flower colors including white, lavender, pink, rose, red and bi-color are available in commerce.  Cultivars resistant to powdery mildew are often the best choices.The genus name is derived from the Greek word phlox meaning flame in reference to the intense flower colors of some varieties.Specific epithet refers to the plant bearing flowers in panicles.
","
Problems
Phlox is not always an easy plant to grow well. Phlox bugs, powdery mildew and root rot can be serious problems. Spider mites can also be a problem, particularly in hot, dry conditions. Taller stems may need staking.
","
Garden Uses
Garden phlox is a staple of the perennial border. Mixes well with other perennials and provides long summer bloom. Regardless of flower color, garden phlox is attractive to hummingbirds and is a good selection for inclusion in a bird garden.
",
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=276700&isprofile=1&basic=Phoenix+Canariensis,Canary Island Date Palm,,Phoenix Canariensis, Palm or Cycad, Arecaceae, Canary Islands, 9 to 11, 9 , 11, 40.00 to 60.00 feet, 40.00 ,60.00,feet, 20.00 to 40.00 feet, 20.00 ,40.00,feet, Seasonal bloomer, Creamy white to pale yellow, Full sun, Medium, Medium,, Showy,, Showy, Evergreen, Winter Interest, Drought,"
Culture
Winter hardy to USDA Zones 9-11 where this date palm is best grown in fertile, medium moisture, well drained soils in full sun. Tolerates light shade. Although this palm will withstand some frost in winter, it is likely to suffer significant frond damage or die when temperatures dip to 20 degrees F.  Best with deep and even moisture. Established plants have respectable drought tolerance. Plants will naturalize to the point of being invasive in some growing conditions (seed floats down watercourses or seed is spread by bird populations). Invasive spread has been observed in southern California where plants have invaded watercourses, orchards, coastlines and to a lesser extent some landscaped areas.  This palm performs well in containers where much more compact growth typically occurs.  Container plants often thrive in a soil based potting mix in full sun, but with some part shade during the heat of the day. In cool climates, containers may be overwintered indoors in bright but cool (55-65 degree F.) temperatures. If container soils are overwatered, leaflet tips turn yellowish-black.  If container soils are underwatered, fronds will sag.  Reduce watering of indoor plants in winter but do not allow soils to totally dry out. Container plants tend to remain compact for long periods of time.
","
Noteworthy Characteristics
Phoenix canariensis, commonly called Canary Island date palm, is a large evergreen palm tree with a massive trunk that matures to 40-60' (less frequently to as much as 90') tall. Notwithstanding size, this palm is a slow grower which may only reach 10' tall over the first 15 years. The trunk is topped with a rounded crown of upright arching palmate leaves which gracefully spread to 20-40' wide. Although native to the Canary Islands, this palm is now grown in frost-free areas around the world. In the U.S., it is grown in Florida, Georgia (southern coast), Gulf Coast, Texas (southern), Arizona, Nevada and California.  It will grow in Hawaii, but distribution there appears to be limited.  This palm is noted for having a massive, thick, columnar, single, gray-brown trunk (matures to as much as 4' in diameter) with distinctive diamond-shaped leaf base scars. Trunk is topped by arching pinnate fronds (each to 15-20' long). Each frond has 80-100 rigid, narrow, lanceolate leaflets (to 12-18"" long) on each side of the central rachis. The leafless lower portion of each petiole is covered with sharp spines (2-3"" long). Creamy white to pale yellow flowers in dense, pendant panicles (to 3-4' long) bloom on male and female plants (dioecious) intermittently throughout the year. Flowers on female palms are followed by yellow-orange, date-like fruits (to 1"" long) which are ornamentally showy but poor-tasting to the point of being only technically edible.Genus name comes from the Greek name.Specific epithet means of the Canary Islands.
","
Problems
Susceptible to lethal yellowing. Leaf spots and rots. Mealybugs, scale and thrips are often present on young plants. Spider mites may attack container plants.   Fruit drop can be messy.
","
Garden Uses
Where winter hardy, this palm may be grown in a variety of locations including along streets, slopes, skylines or parks. Excellent in groves or small groupings.  It can be  planted on residential lawns as a specimen, but it needs a very large space. Additional residential area options include growth as a container plant on patios or near entrances. Where winter temperatures are too cool, container plants can be overwintered indoors.
",
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=276700&isprofile=1&basic=Date+Palm,Date Palm,,Phoenix Dactylifera, Palm or Cycad, Arecaceae, Canary Islands, 9 to 11, 9 , 11, 40.00 to 60.00 feet, 40.00 ,60.00,feet, 20.00 to 40.00 feet, 20.00 ,40.00,feet, Seasonal bloomer, Creamy white to pale yellow, Full sun, Medium, Medium,, Showy,, Showy, Evergreen, Winter Interest, Drought,"
Culture
Winter hardy to USDA Zones 9-11 where this date palm is best grown in fertile, medium moisture, well drained soils in full sun. Tolerates light shade. Although this palm will withstand some frost in winter, it is likely to suffer significant frond damage or die when temperatures dip to 20 degrees F.  Best with deep and even moisture. Established plants have respectable drought tolerance. Plants will naturalize to the point of being invasive in some growing conditions (seed floats down watercourses or seed is spread by bird populations). Invasive spread has been observed in southern California where plants have invaded watercourses, orchards, coastlines and to a lesser extent some landscaped areas.  This palm performs well in containers where much more compact growth typically occurs.  Container plants often thrive in a soil based potting mix in full sun, but with some part shade during the heat of the day. In cool climates, containers may be overwintered indoors in bright but cool (55-65 degree F.) temperatures. If container soils are overwatered, leaflet tips turn yellowish-black.  If container soils are underwatered, fronds will sag.  Reduce watering of indoor plants in winter but do not allow soils to totally dry out. Container plants tend to remain compact for long periods of time.
","
Noteworthy Characteristics
Phoenix canariensis, commonly called Canary Island date palm, is a large evergreen palm tree with a massive trunk that matures to 40-60' (less frequently to as much as 90') tall. Notwithstanding size, this palm is a slow grower which may only reach 10' tall over the first 15 years. The trunk is topped with a rounded crown of upright arching palmate leaves which gracefully spread to 20-40' wide. Although native to the Canary Islands, this palm is now grown in frost-free areas around the world. In the U.S., it is grown in Florida, Georgia (southern coast), Gulf Coast, Texas (southern), Arizona, Nevada and California.  It will grow in Hawaii, but distribution there appears to be limited.  This palm is noted for having a massive, thick, columnar, single, gray-brown trunk (matures to as much as 4' in diameter) with distinctive diamond-shaped leaf base scars. Trunk is topped by arching pinnate fronds (each to 15-20' long). Each frond has 80-100 rigid, narrow, lanceolate leaflets (to 12-18"" long) on each side of the central rachis. The leafless lower portion of each petiole is covered with sharp spines (2-3"" long). Creamy white to pale yellow flowers in dense, pendant panicles (to 3-4' long) bloom on male and female plants (dioecious) intermittently throughout the year. Flowers on female palms are followed by yellow-orange, date-like fruits (to 1"" long) which are ornamentally showy but poor-tasting to the point of being only technically edible.Genus name comes from the Greek name.Specific epithet means of the Canary Islands.
","
Problems
Susceptible to lethal yellowing. Leaf spots and rots. Mealybugs, scale and thrips are often present on young plants. Spider mites may attack container plants.   Fruit drop can be messy.
","
Garden Uses
Where winter hardy, this palm may be grown in a variety of locations including along streets, slopes, skylines or parks. Excellent in groves or small groupings.  It can be  planted on residential lawns as a specimen, but it needs a very large space. Additional residential area options include growth as a container plant on patios or near entrances. Where winter temperatures are too cool, container plants can be overwintered indoors.
",
not found,Reclinata Palm,x,Phoenix Reclinata,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
not found,Pigmy Date Palm,x,Phoenix Roebelenii,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
not found,Frog Foot,x,Phyla Nodiflora,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=284990&isprofile=1&basic=Picea+Glauca,White Spruce,,Picea Glauca, Needled evergreen, Pinaceae," Canada, northern United States", 2 to 6, 2 , 6, 40.00 to 60.00 feet, 40.00 ,60.00,feet, 10.00 to 20.00 feet, 10.00 ,20.00,feet, Non-flowering, Non-flowering, Full sun, Medium, Low,,,,, Evergreen, Winter Interest, Deer,"
Culture
Best grown in moist, well-drained soils in full sun.  Tolerates some light shade.  Best performance is in cold winter climates with cool summers.  Site in areas with good air circulation to help rid the dense foliage of moisture.  Somewhat intolerant of urban stresses such as air pollutants and salt spray.  Plants will struggle in the high heat and humidity of St. Louis summers, and should not be grown in the eastern U.S. south of USDA Zone 6.
","
Noteworthy Characteristics
Picea glauca, commonly called white spruce, is an extremely hardy evergreen conifer that is native to upland areas and lake/stream margins stretching from Alaska across the boreal forest of Canada to Newfoundland, dipping south to Montana, Minnesota, Wisconsin, Michigan and New York.  This tree typically grows 60-80' tall (less frequently to 140' tall) with a cone-shaped crown.  It diminishes in size to low, shrubby forms near tree line in northern Canada.  Blue-green needles (to 3/4"") on small woody pegs have sharp tips.  Needles are pungently aromatic when  crushed.  Needles have a glaucous (white waxy coating) bloom, hence the specific epithet and common name.  Branchlets do not droop.  Cylindrical pale brown cones (to 2.5"" long) have flexible scales.Genus name is reportedly derived from the Latin word pix meaning pitch in reference to the sticky resin typically found in spruce bark.Specific epithet both are in reference to the fact that mature needles of this tree become glaucous (acquire a waxy white bloom) with age.
","
Problems
No serious insect or disease problems.  Susceptible to needle and stem rust, canker, trunk and root rot.  Yellow-headed spruce sawfly, spruce budworm and eastern spruce beetle are problems in some areas.  Mites are common and repeated infestations can do serious injury to the plant.  Intolerant of urban stresses (pollution, salt spray).
","
Garden Uses
Specimen for landscape. Windbreak or screen.
",
not found,Eldarica Pine,x,Pinus Eldarica,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=253054&isprofile=1&basic=Pyrus+Calleryana,Bradford Pear,,Pyrus Calleryana, Tree, Rosaceae,, 5 to 9, 5 , 9, 25.00 to 35.00 feet, 25.00 ,35.00,feet, 20.00 to 25.00 feet, 20.00 ,25.00,feet, April, White, Full sun, Dry to medium, Low," Street Tree, Flowering Tree", Showy, Birds,, Good Fall,," Drought, Clay Soil, Air Pollution","
Culture
Best grown in humusy, well-drained loams with consistent moisture in full sun. Tolerates some drought once established. Adaptable to a wide range of soil conditions including heavy clays. Generally tolerant of urban conditions. Early spring flowers may be damaged by frost. Prune as needed in winter.
","
Noteworthy Characteristics
Pyrus calleryana, commonly called Callery pear, is native to China and Taiwan. It is an upright-branched ornamental tree. It grows pyramidal to columnar in youth, but tends to become oval to spreading with age. It is noted for its early profuse spring bloom, quality glossy green foliage and often excellent fall color. Shoots on species plants are thorny, but some cultivars are thornless. It produces small, inedible, greenish-yellow fruits (to 1/2” diameter) which are of little practical value or ornamental interest. Joseph Callery, a French missionary, discovered and collected this plant in China in 1858. In 1917, seed was brought to the U.S. from China for hybridization experiments aimed at improving fireblight resistance for the common fruiting pear (P. communis). The experiments generally proved unsuccessful. In the 1950s, callery pear emerged in U.S. commerce as a promising new ornamental tree, leading to massive landscape plantings. By the 1980s, concerns about both overplanting and structural weakness (limb breakage from wind, ice and snow) began to surface. Today, additional concerns about invasiveness (non-sterile forms are escaping cultivation and naturalizing in some areas) are being addressed. Narrow-oval, glossy dark green leaves (to 3” long) have distinctively wavy margins. Leaves dance in the breeze due to long petioles. Leaves turn attractive reddish-purple to bronze-red in fall. Five-petaled, creamy white flowers (each to 3/4” wide) in dense corymbs appear in profusion in early spring.Specific epithet and common name honor Joseph Callery, a French missionary, who discovered and collected this plant in China in 1858.‘Aristocrat’ is a thornless, oval-pyramidal, ornamental pear that typically grows to 25-35’ tall and to 20-25’ wide. It has more horizontal branching than on many other callery cultivars.
","
Problems
‘Aristocrat’ is an attractive ornamental flowering tree for the landscape. It is susceptible to limb breakage or splitting from strong winds, snow or ice, but has better structural strength that some other callery cultivars such as P. calleryana ‘Bradford’. It is also susceptible to fireblight. Viable seed can be produced when Callery pear cultivars  cross-pollinate. Please see below for more information on its invasive spread in Missouri and other states.
","
Garden Uses
Symmetrically attractive narrow shape makes this cultivar a good selection for a variety of sites. Group or specimen. Small shade tree. May be used as a street tree.
",
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=280704&isprofile=1&basic=Quercus+Macrocarpa,Bur Oak,,Quercus Macrocarpa, Tree, Fagaceae," Northern and central United States, southeastern Canada", 3 to 8, 3 , 8, 60.00 to 80.00 feet, 60.00 ,80.00,feet, 60.00 to 80.00 feet, 60.00 ,80.00,feet, April, Yellowish-green, Full sun, Dry to medium, Low," Shade Tree, Rain Garden", Insignificant,, Showy,,," Drought, Clay Soil, Dry Soil","
Culture
Easily grown in average, dry to medium, well-drained soils in full sun. Prefers moist well-drained loams, but adapts to a wide range of soil conditions. Good drought tolerance. May take up to 35 years for this tree to bear a first crop of acorns.
","
Noteworthy Characteristics
Quercus macrocarpa, commonly called bur oak or mossycup oak, is one of the most majestic of the native North American oaks. It is a medium to large sized deciduous oak of the white oak group that typically grows 60-80’ (less frequently to 150’) tall with a broad-spreading, rounded crown. Acorn cups are covered with a mossy scale or bur near the rim, hence the common names. It is native to a variety of habitats in central and eastern North America. Best growth occurs in bottomland soils, particularly in the Ohio River valley. In Missouri, it typically occurs in low woods and stream valleys in the Ozark region, but on dry upland soils in the unglaciated parts of the state north of the Missouri River (Steyermark). Insignificant monoecious yellowish-green flowers in separate male and female catkins appear in spring as the leaves emerge. Fruits are oval acorns (to 1 1/2” long), with fringed, burry cups that extend to approximately 1/2 to 3/4 the acorn length. Acorns are an important source of food for wildlife. Leathery, dark green leaves (6-12” long) with 5-9 rounded lobes are variable in shape, but usually have a pair of deep central sinuses that extend nearly to the midrib giving the leaf a waisted appearance. Fall color is an undistinguished yellow-brown. Twigs sometimes are ridged with corky wings.Genus name comes from the classical Latin name for oak trees.Specific epithet comes from the Greek words macro meaning large and carpa meaning fruit in reference to the large acorn size.
","
Problems
Oaks are susceptible to a large number of diseases, including oak wilt, chestnut blight, shoestring root rot, anthracnose, oak leaf blister, cankers, leaf spots and powdery mildew. Potential insect pests include scale, oak skeletonizer, leaf miner, galls, oak lace bugs, borers, caterpillars and nut weevils. Notwithstanding the aforementioned, bur oak is generally considered to be a low-maintenance, long-lived tree.
","
Garden Uses
A large shade tree for very large lawns or parks.
",
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=280722&isprofile=1&basic=Quercus+Muehlenbergii,Chinquapin Oak,,Quercus Muehlenbergii, Tree, Fagaceae, Eastern United States, 5 to 7, 5 , 7, 40.00 to 60.00 feet, 40.00 ,60.00,feet, 50.00 to 70.00 feet, 50.00 ,70.00,feet, April, Yellowish-green, Full sun, Dry to medium, Low, Shade Tree, Insignificant,, Showy,,, Drought,"
Culture
Easily grown in average, medium, well-drained soils in full sun. Although it primarily grows in dry, rocky soils in the wild, it seems to prefer moist fertile loams in cultivation. Relatively good drought tolerance. May take up to 30 years for this tree to bear a first crop of acorns.
","
Noteworthy Characteristics
Quercus muehlenbergii, commonly called Chinkapin (or Chinquapin) oak, is a medium sized deciduous oak of the white oak group that typically grows 40-60’ (less frequently to 80’) tall with an open globular crown. It is native to central and eastern North America where it is typically found on dry upland sites often in rocky, alkaline soils. Insignificant monoecious yellowish-green flowers in separate male and female catkins appear in spring as the leaves emerge. Fruits are small oval acorns (to 3/4” long), with scaly cups that extend to approximately 1/2 the acorn length. Acorns are valued food for a variety of wildlife. Narrow, oblong-lanceolate, shiny green leaves (4-7” long) have coarse marginal teeth. Leaves somewhat resemble the leaves of chestnut (Castanea) whose nut is sometimes called a chinquapin, hence the common name of this oak whose acorn is sweet and edible. Also sometimes commonly called yellow chestnut oak. Fall color is variable, but usually undistinguished shades of yellow and brown.Genus name comes from the classical Latin name for oak trees.Specific epithet honors Gotthilf Henry Ernest Muhlenberg, 18-19th century Lutheran minister-botanist from Pennsylvania.
","
Problems
Oaks are susceptible to a large number of diseases, including oak wilt, chestnut blight, shoestring root rot, anthracnose, oak leaf blister, cankers, leaf spots and powdery mildew. Potential insect pests include scale, oak skeletonizer, leaf miner, galls, oak lace bugs, borers, caterpillars and nut weevils. Notwithstanding the aforementioned, chinkapin oak is generally considered to be a low-maintenance, long-lived tree.
","
Garden Uses
A shade tree for large lawns or parks. Uncommonly cultivated.
",
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=280756&isprofile=1&basic=Quercus+Texana,Texas Red Oak,,Quercus Texana, Tree, Fagaceae, Southern-central United States, 6 to 9, 6 , 9, 50.00 to 80.00 feet, 50.00 ,80.00,feet, 40.00 to 65.00 feet, 40.00 ,65.00,feet, April, Yellowish-green, Full sun, Medium, Low," Shade Tree, Rain Garden", Insignificant,,, Good Fall,," Clay Soil, Wet Soil","
Culture
Best grown in rich, moist, acidic loams in full sun. Adapts to a wide variety of soil conditions including heavy clay soils.
","
Noteworthy Characteristics
Quercus texana is a deciduous oak that typically grows in wet, heavy, bottomland soils in floodplain forests in the Mississippi River valley from far western Kentucky, the southern tip of Illinois and the southeastern lowlands region of Missouri (the Bootheel) south to Louisiana and along the Gulf Coast from Alabama to Texas. It grows 50-80’ tall with a wide-spreading, rounded crown. Insignificant yellowish-green flowers in separate male and female catkins appear in spring shortly after the leaves emerge. Fruits are oval acorns (to 1¼” long) with scaly cups. Dark green leaves (4-8” long) are deeply divided into 6-11 spiny, pointed lobes. Axillary tufts of tomentum on the lower surface vein angles are distinctive. Gereral leaf shape is reminiscent of the closely related pin oaks and schumard oaks. Fall color comes late, but often includes quality shades of red. Q. texana as currently described is synonymous with and formerly known as Q. nuttallii, Q. nuttallii var. cachensis, Q. rubra var. texana, Q. shumardii var. microcarpa and Q. shumardii var. texana. Unfortunately, nomenclature and common names for this tree have become considerably confused over time.Genus name comes from the classical Latin name for oak trees.Specific epithet means of Texas.
","
Problems
Potential diseases include oak wilt, anthracnose and oak leaf blister. Potential insects include scale, oak skeletonizer, leaf miner and lace bug.
","
Garden Uses
Large shade tree. Needs a large space in which to grow. A good selection for low areas with wet soils.
",
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=280730&isprofile=1&basic=Quercus+Virginiana,Live Oak,,Quercus Virginiana, Broadleaf evergreen, Fagaceae," Southeastern United States, Mexico", 8 to 10, 8 , 10, 40.00 to 80.00 feet, 40.00 ,80.00,feet, 60.00 to 100.00 feet, 60.00 ,100.00,feet, March to April, Yellowish-green, Full sun, Medium to wet, Low," Shade Tree, Rain Garden", Insignificant,, Showy, Evergreen, Winter Interest,,"
Culture
Winter hardy to USDA Zones 8-10. May not be grown in the St. Louis area. In areas where it is winter hardy, it is easily grown in average, medium to wet, well-drained soils in full sun. Tolerates a wide range of soils.
","
Noteworthy Characteristics
Quercus virginiana, commonly called live oak, is a large, long-lived, evergreen oak that typically grows 40-80’ tall with a short trunk, low branching and a broad-spreading rounded crown. It is native to coastal plains and woods from Virginia to southern Florida and Texas. This is a majestic tree whose massive spreading limbs and branches are often seen draped with Spanish moss in many parts of its range. Live oaks were planted along many old southern plantation roads and over time have become a symbol of the South. Insignificant monoecious yellowish-green flowers in separate male and female catkins appear in spring. Fruits are ellipsoidal acorns (to 1” long), with scaly cups that extend to approximately 1/3 the acorn length. Acorns are valued food for a variety of wildlife. Elliptic to obovate, leathery, shiny dark green leaves (to 5” long) have smooth edges. Leaves are evergreen. Wood makes excellent fuel because of its high density. Live oak acorns mature in one season.Genus name comes from the classical Latin name for oak trees.Specific epithet means of Virginia.
","
Problems
In its native range, live oak is generally considered to be a long-lived, low-maintenance tree. Root rot may attack coastal trees. Oak wilt is a serious problem in some areas. Insect galls may damage foliage appearance.
","
Garden Uses
A shade tree for large lawns or parks.
",
not found,Japanese Azalea,x,Rhododendron Japonicum,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=280018&isprofile=1&basic=Rhododendron+Viscosum,Swamp Azalea,,Rhododendron Viscosum, Deciduous shrub, Ericaceae, Eastern and southern United States, 4 to 9, 4 , 9, 3.00 to 5.00 feet, 3.00 ,5.00,feet, 3.00 to 5.00 feet, 3.00 ,5.00,feet, May to July, White to pale pink, Part shade, Medium to wet, Medium, Hedge," Showy, Fragrant, Good Cut"," Hummingbirds, Butterflies",, Good Fall,," Rabbit, Wet Soil","
Culture
Best grown in acidic, humusy, well-drained loams in part shade.  This species of azalea is tolerant of moist to wet soils including ones with somewhat poor drainage (its native habitat is swampy lowland areas).  It also tolerates periodic flooding, but will not grow in soils where the roots are submerged in water.  Root rot is less likely to occur with this species.  Prefers a sun dappled shade or high open part shade.  Foliage may scorch in full sun unless soils are kept uniformly moist.  Roots must never be allowed to dry out. Acidify soils prior to planting and thereafter as needed.  This azalea should never be planted near a black walnut or butternut tree (roots of both trees produce toxic juglones which will typically damage or kill rhododendrons/azaleas growing within or close to the drip line of either tree).  It is best sited in a location protected from strong winter winds.  This shrub has a shallow, fibrous root system (do not cultivate around the shrub) and will benefit from a good mulch (wood chips, bark or pine needles) for retention of moisture, stabilization of soil temperatures and winter protection.  Clip off spent flower clusters immediately after bloom as practicable.  Plants will slowly naturalize by root suckers.
","
Noteworthy Characteristics
Rhododendron viscosum, commonly known as swamp azalea, is a loose, upright-spreading, deciduous woody shrub that typically grows to 3-5' (less frequently to 8') tall.  Branching opens up with age.  It is one of 17 species of azalea which are native to the U.S.   It is typically found in swamps, bogs, stream margins and wet lowlands from southwestern Maine to northeastern Ohio south to Florida and Alabama.  It may be found at some higher elevations in the Appalachian Mountains.  Fragrant (musky clove-like aroma), tubular, white to pale pink flowers (1 1/4"" across) bloom in clusters of 4-9 after the leaves have emerged in May-July (one of the last of the native azaleas to flower).  Each flower has 5 petal-like lobes.  Narrow, obovate to oblong-ovate leaves (to 2  1/2"" long) with wedge-shaped bases and blunt/short-pointed tips are clustered at the branch ends.  Leaves are dark green above and pale green below.  Leaves turn attractive shades of yellow, orange and purple in fall.  Branchlets are hirsute (stiff hairs).  Fruits are egg-shaped capsules (to 3/4"" long).Genus name comes from the Greek words rhodo meaning rose and dendron meaning tree. Transferred from the Greek name for Nerium oleander.Specific epithet comes from the Latin word viscosus meaning sticky in reference to the sticky substance excreted by glandular hairs on the corolla tubes of the flowers.Additional common names include clammy azalea in reference to its sticky (viscous) corolla tubes and honeysuckle azalea (even though it is a rhododendron and not a honeysuckle) in reference to the resemblance of its flowers in both appearance and fragrance to the flowers of some honeysuckles.
","
Problems
Azaleas are susceptible to many insect and disease problems, including but not limited to canker, crown rot, root rot, leaf spot, rust, powdery mildew, aphids, borers, lacebugs, leafhoppers, mealybugs, mites, nematodes, scale, thrips and whitefly.  A healthy plant in the proper environment with proper care should have limited problems, however.
","
Garden Uses
Best grouped in shrub borders, mixed borders, open woodland gardens, native plant gardens and open shade gardens.  Effective near patios or decks.  Specimen around the home.   Plants in groups with earlier blooming azaleas to extend the annual azalea bloom period.   Plants often thrive when sited in moist soils near stationary or moving water.   Good cut flower.
",
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=286457&isprofile=1&basic=Rosa+Carolina,Carolina Rose,,Rosa Carolina, Deciduous shrub, Rosaceae, Eastern and central North America, 4 to 9, 4 , 9, 3.00 to 6.00 feet, 3.00 ,6.00,feet, 5.00 to 10.00 feet, 5.00 ,10.00,feet, May, Pink, Full sun, Medium to wet, Medium, Hedge," Showy, Fragrant"," Birds, Butterflies", Showy,, Thorns,,"
Culture
Best grown in average, medium to wet, well-drained soil in full sun. Best flowering and disease resistance occur in full sun. Water deeply and regularly (mornings are best). Avoid overhead watering. Good air circulation promotes vigorous and healthy growth and helps control foliar diseases. Summer mulch helps retain moisture and keep roots cool. Remove and destroy diseased leaves from plants (as practicable), and clean up and destroy dead leaves from the ground around the plants both during the growing season and as part of a thorough clean-up during winter (dormant season). Crowns appreciate protection in cold winter climates. Prune in late winter to early spring.
","
Noteworthy Characteristics
Rosa carolina, commonly called pasture rose, is a Missouri-native shrub which occurs in both dryish and wet soils throughout the State. Typically found in glades, open woods, prairies, along roads and railroads, and in wet soils along streams and swamps and low areas. Grows from 1-3' tall (less frequently to 6') and often spreads by suckers to form colonies or thickets in the wild. Features single (5-petaled), pink flowers (to 2.5"" across) which bloom in May. No repeat bloom. Smooth, dark green foliage. Red hips in late summer.Genus name comes from the Latin name.Specific epithet means of North or South Carolina.
","
Problems
Roses are susceptible to a large number of diseases, the most common of which are black spot, powdery mildew, rust and rose rosette. Although good cultural practices are the first line of defense in disease control, regular preventative fungicide applications throughout the growing season are generally required in humid climates with regular summer rainfall such as the St. Louis area. This species rose has better natural resistance to the aforementioned diseases than most hybrid roses. Potential insect problems include aphids, beetles, borers, scale, thrips, rose midges, leafhoppers and spider mites.
","
Garden Uses
Mass in borders, rose garden, meadows, naturalized areas or native plant gardens.
",
