Botanical Name,Page title,Expected Common Name,Wikipedia Page link,
Alstroemeria aurea,Alstroemeria,Alstroemeria; Peruvian lily; lily of the Incas,https://en.wikipedia.org/wiki/Alstroemeria,
Alyssum murale,Alyssum,Alyssum,https://en.wikipedia.org/wiki/Alyssum,
Amaranthus caudatus,Amaranthus caudatus,Amaranthus caudatus; love-lies-bleeding; pendant amaranth; tassel flower; velvet flower; foxtail amaranth; quilete; kiwicha,https://en.wikipedia.org/wiki/Amaranthus_caudatus,
Amelanchier arborea,Amelanchier arborea,Amelanchier arborea; downy serviceberry; common serviceberry,https://en.wikipedia.org/wiki/Amelanchier_arborea,
Amelanchier laevis,Amelanchier laevis,Amelanchier laevis; smooth shadbush; smooth serviceberry; Allegheny serviceberry,https://en.wikipedia.org/wiki/Amelanchier_laevis,
Amelanchier lamarckii,Amelanchier lamarckii,Amelanchier lamarckii; juneberry; serviceberry; shadbush; snowy mespilus; snowy mespil,https://en.wikipedia.org/wiki/Amelanchier_lamarckii,
Amelanchier nantucketensis,Amelanchier,Amelanchier; shadbush; shadwood; shadblow; serviceberry; sarvisberry; sarvis; juneberry; saskatoon; sugarplum; wild-plum; chuckley pear,https://en.wikipedia.org/wiki/Amelanchier,
Amelanchier obovalis,Amelanchier canadensis,Amelanchier canadensis; bilberry; Canadian serviceberry; chuckle-berry; currant-tree; juneberry; shad-blow serviceberry; shad-blow; shadbush; shadbush serviceberry; sugarplum; thicket serviceberry,https://en.wikipedia.org/wiki/Amelanchier_canadensis,
Amelanchier stolonifera,Amelanchier,Amelanchier; shadbush; shadwood; shadblow; serviceberry; sarvisberry; sarvis; juneberry; saskatoon; sugarplum; wild-plum; chuckley pear,https://en.wikipedia.org/wiki/Amelanchier,
Amorpha canescens,Amorpha canescens,Amorpha canescens; leadplant; downy indigo bush; prairie shoestring; buffalo bellows,https://en.wikipedia.org/wiki/Amorpha_canescens,
Amorpha fruticosa,Amorpha fruticosa,Amorpha fruticosa; desert false indigo; false indigo-bush; bastard indigobush,https://en.wikipedia.org/wiki/Amorpha_fruticosa,
Amorpha ouachitensis,Amorpha ouachitensis,Amorpha ouachitensis; Ouachita leadplant; Ouachita Mountain leadplant; Ouachita false indigo; Ouachita indigobush,https://en.wikipedia.org/wiki/Amorpha_ouachitensis,
Amsonia hubrichtii,Amsonia hubrichtii,Amsonia hubrichtii; Hubricht's bluestar,https://en.wikipedia.org/wiki/Amsonia_hubrichtii,
Amsonia illustris,Amsonia,Amsonia; bluestars,https://en.wikipedia.org/wiki/Amsonia,
Anaphalis margaritacea,Anaphalis margaritacea,Anaphalis margaritacea; western pearly everlasting; pearly everlasting,https://en.wikipedia.org/wiki/Anaphalis_margaritacea,
Anchusa azurea,Anchusa azurea,Anchusa azurea; garden anchusa; Italian bugloss,https://en.wikipedia.org/wiki/Anchusa_azurea,
Andropogon glomeratus,Andropogon glomeratus,Andropogon glomeratus; bushy bluestem; bushy beardgrass,https://en.wikipedia.org/wiki/Andropogon_glomeratus,
Anemone canadensis,Anemone canadensis,Anemone canadensis; Canada anemone; round-headed anemone; meadow anemone; crowfoot,https://en.wikipedia.org/wiki/Anemone_canadensis,
Anemone coronaria,Anemone coronaria,Anemone coronaria; poppy anemone; Spanish marigold; windflower,https://en.wikipedia.org/wiki/Anemone_coronaria,
Anemone cylindrica,Anemone cylindrica,Anemone cylindrica,https://en.wikipedia.org/wiki/Anemone_cylindrica,
Anemone hupehensis,not found,not found,not found,
Anemone narcissiflora,Anemone narcissiflora,Anemone narcissiflora; narcissus anemone; narcissus-flowered anemone,https://en.wikipedia.org/wiki/Anemone_narcissiflora,
Anemone nemorosa,Anemone nemorosa,Anemone nemorosa; wood anemone; windflower; thimbleweed; smell fox,https://en.wikipedia.org/wiki/Anemone_nemorosa,
Anemone parviflora,Anemone parviflora,Anemone parviflora; northern anemone; small-flowered anemone,https://en.wikipedia.org/wiki/Anemone_parviflora,
Anemone virginiana,Anemone virginiana,Anemone virginiana; tall anemone; thimble-weed; tumble-weed,https://en.wikipedia.org/wiki/Anemone_virginiana,
Angelica archangelica,Angelica archangelica,Angelica archangelica; garden angelica; wild celery; Norwegian angelica,https://en.wikipedia.org/wiki/Angelica_archangelica,
Angelica atropurpurea,Angelica atropurpurea,Angelica atropurpurea; purplestem angelica; great angelica; American angelica; high angelica; masterwort,https://en.wikipedia.org/wiki/Angelica_atropurpurea,
Annona reticulata,Annona reticulata,Annona reticulata; custard apple; wild-sweetsop; bull's heart; bullock's-heart; ox-heart,https://en.wikipedia.org/wiki/Annona_reticulata,
Anredera cordifolia,Anredera cordifolia,Anredera cordifolia; Madeira-vine; mignonette vine,https://en.wikipedia.org/wiki/Anredera_cordifolia,
Antennaria dioica,Antennaria dioica,Antennaria dioica; mountain everlasting; stoloniferous pussytoes; catsfoot; cudweed,https://en.wikipedia.org/wiki/Antennaria_dioica,
Antennaria neglecta,Antennaria neglecta,Antennaria neglecta ; field pussytoes,https://en.wikipedia.org/wiki/Antennaria_neglecta,
Antennaria parlinii,Antennaria parlinii,Antennaria parlinii; Parlin's pussytoes,https://en.wikipedia.org/wiki/Antennaria_parlinii,
Antennaria plantaginifolia,Antennaria plantaginifolia,Antennaria plantaginifolia; plantain leaf pussytoes; woman's tobacco,https://en.wikipedia.org/wiki/Antennaria_plantaginifolia,
Anthemis tinctoria,Anthemis,Anthemis; chamomile; dog-fennel; mayweed,https://en.wikipedia.org/wiki/Anthemis,
Apocynum cannabinum,Apocynum cannabinum,Apocynum cannabinum; dogbane; amy root; hemp dogbane; prairie dogbane; Indian hemp; rheumatism root; wild cotton; pö,https://en.wikipedia.org/wiki/Apocynum_cannabinum,
Aponogeton distachyos,Aponogeton distachyos,Aponogeton distachyos; waterblommetjie; Cape-pondweed; water hawthorn; vleikos; Cape pond weed,https://en.wikipedia.org/wiki/Aponogeton_distachyos,
Aquilegia vulgaris,Aquilegia vulgaris,Aquilegia vulgaris; European columbine; common columbine; granny's nightcap; granny's bonnet,https://en.wikipedia.org/wiki/Aquilegia_vulgaris,
Arabis alpina,Arabis alpina,Arabis alpina; Alpine rock-cress,https://en.wikipedia.org/wiki/Arabis_alpina,
Arachis hypogaea,Peanut,peanut; groundnut; goober; monkey nut; Groundnut cake,https://en.wikipedia.org/wiki/Peanut,
Aralia chinensis,Aralia chinensis,Aralia chinensis; Chinese angelica-tree,https://en.wikipedia.org/wiki/Aralia_chinensis,
Aralia cordata,Aralia cordata,Aralia cordata; spikenard; herbal aralia; udo; Japanese spikenard; mountain asparagus,https://en.wikipedia.org/wiki/Aralia_cordata,
Aralia elata,Aralia elata,Aralia elata; Japanese angelica tree,https://en.wikipedia.org/wiki/Aralia_elata,
Aralia racemosa,Aralia racemosa,Aralia racemosa; American spikenard; small spikenard; Indian root; spice berry; spignet; life-of-man; petty morel,https://en.wikipedia.org/wiki/Aralia_racemosa,
Aralia spinosa,Aralia spinosa,Aralia spinosa; devil's walking stick; Angelica-tree; Hercules' club; prickly ash; prickly elder,https://en.wikipedia.org/wiki/Aralia_spinosa,
Araucaria araucana,Araucaria araucana,Araucaria araucana; monkey puzzle tree; monkey tail tree; piñonero; Chilean pine,https://en.wikipedia.org/wiki/Araucaria_araucana,
Araucaria columnaris,Araucaria columnaris,Araucaria columnaris; coral reef araucaria; Cook pine; New Caledonia pine; Cook araucaria; columnar araucaria,https://en.wikipedia.org/wiki/Araucaria_columnaris,
Arbutus unedo,Arbutus unedo,Arbutus unedo; strawberry tree; unedo,https://en.wikipedia.org/wiki/Arbutus_unedo,
Ardisia crenata,Ardisia crenata,Ardisia crenata; Christmas berry; Australian holly; coral ardisia; coral bush; coralberry; coralberry tree;  hen's-eyes; spiceberry,https://en.wikipedia.org/wiki/Ardisia_crenata,
Ardisia elliptica,Ardisia elliptica,Ardisia elliptica; shoebutton ardisia; duck's eye; coralberry,https://en.wikipedia.org/wiki/Ardisia_elliptica,
Argemone polyanthemos,Argemone polyanthemos,Argemone polyanthemos; crested pricklypoppy,https://en.wikipedia.org/wiki/Argemone_polyanthemos,
Arisaema dracontium,Arisaema dracontium,Arisaema dracontium; dragon-root; green dragon,https://en.wikipedia.org/wiki/Arisaema_dracontium,
Arisaema triphyllum,Arisaema triphyllum,Arisaema triphyllum; jack-in-the-pulpit; bog onion; brown dragon; Indian turnip; American wake robin; wild turnip,https://en.wikipedia.org/wiki/Arisaema_triphyllum,
Aristolochia californica,Aristolochia californica,Aristolochia californica; California pipevine; California Dutchman's-pipe,https://en.wikipedia.org/wiki/Aristolochia_californica,
Aristolochia clematitis,Aristolochia clematitis,Aristolochia clematitis; (European) birthwort,https://en.wikipedia.org/wiki/Aristolochia_clematitis,
Aristolochia macrophylla,Aristolochia macrophylla,Aristolochia macrophylla; Dutchman's pipe; pipevine,https://en.wikipedia.org/wiki/Aristolochia_macrophylla,
Aristolochia tomentosa,Aristolochia tomentosa,Aristolochia tomentosa; Dutchman's Pipe,https://en.wikipedia.org/wiki/Aristolochia_tomentosa,
Armoracia rusticana,Horseradish,Horseradish,https://en.wikipedia.org/wiki/Horseradish,
Arnoglossum atriplicifolium,Arnoglossum atriplicifolium,Arnoglossum atriplicifolium; pale Indian plantain,https://en.wikipedia.org/wiki/Arnoglossum_atriplicifolium,
Arnoglossum reniforme,Arnoglossum reniforme,Arnoglossum reniforme; great Indian plantain,https://en.wikipedia.org/wiki/Arnoglossum_reniforme,
Aronia arbutifolia,Aronia,Aronia; chokeberries; aronia berries,https://en.wikipedia.org/wiki/Aronia,
Aronia prunifolia,Aronia,Aronia; chokeberries; aronia berries,https://en.wikipedia.org/wiki/Aronia,
Artemisia abrotanum,Artemisia abrotanum,Artemisia abrotanum; southernwood; lad's love; southern wormwood,https://en.wikipedia.org/wiki/Artemisia_abrotanum,
Artemisia absinthium,Artemisia absinthium,Artemisia absinthium; wormwood; grand wormwood; absinthe; absinthium; absinthe wormwood,https://en.wikipedia.org/wiki/Artemisia_absinthium,
Artemisia frigida,Artemisia frigida,Artemisia frigida; fringed sagebrush; prairie sagewort; arctic sage; pasture sage.,https://en.wikipedia.org/wiki/Artemisia_frigida,
Artocarpus altilis,Breadfruit,Breadfruit,https://en.wikipedia.org/wiki/Breadfruit,
Artocarpus heterophyllus,Jackfruit,jackfruit; jack tree,https://en.wikipedia.org/wiki/Jackfruit,
Arum italicum,Arum italicum,Arum italicum; Italian arum; Italian lords-and-ladies,https://en.wikipedia.org/wiki/Arum_italicum,
Arundinaria gigantea,Arundinaria gigantea,Arundinaria gigantea; giant cane; river cane; switch cane,https://en.wikipedia.org/wiki/Arundinaria_gigantea,
Asarum canadense,Asarum canadense,Asarum canadense; Canada wild ginger; Canadian snakeroot; broad-leaved asarabacca,https://en.wikipedia.org/wiki/Asarum_canadense,
Asarum caudatum,Asarum caudatum,Asarum caudatum; British Columbia wild ginger; western wild ginger; long-tailed wild ginger,https://en.wikipedia.org/wiki/Asarum_caudatum,
Asclepias hirtella,Asclepias hirtella,Asclepias hirtella; tall green milkweed,https://en.wikipedia.org/wiki/Asclepias_hirtella,
Asclepias quadrifolia,Asclepias quadrifolia,Asclepias quadrifolia; fourleaf milkweed; whorled milkweed,https://en.wikipedia.org/wiki/Asclepias_quadrifolia,
Asclepias speciosa,Asclepias speciosa,Asclepias speciosa; showy milkweed,https://en.wikipedia.org/wiki/Asclepias_speciosa,
Asclepias sullivantii,Asclepias sullivantii,Asclepias sullivantii; prairie milkweed; Sullivant's milkweed; smooth milkweed,https://en.wikipedia.org/wiki/Asclepias_sullivantii,
Asclepias verticillata,Asclepias verticillata,Asclepias verticillata; whorled milkweed; eastern whorled milkweed; horsetail milkweed,https://en.wikipedia.org/wiki/Asclepias_verticillata,
Asclepias viridis,Asclepias viridis,Asclepias viridis; green antelopehorn; spider milkweed,https://en.wikipedia.org/wiki/Asclepias_viridis,
Asimina triloba,Asimina triloba,Asimina triloba; papaw; pawpaw; paw paw; paw-paw,https://en.wikipedia.org/wiki/Asimina_triloba,
Asparagus setaceus,Asparagus setaceus,"Asparagus setaceus; common asparagus fern, asparagus grass; lace fern; climbing asparagus; ferny asparagus",https://en.wikipedia.org/wiki/Asparagus_setaceus,
Asphodelus albus,Asphodelus albus,Asphodelus albus; white asphodel,https://en.wikipedia.org/wiki/Asphodelus_albus,
Asplenium ebenoides,Asplenium × ebenoides,Asplenium × ebenoides; Scott's spleenwort; dragon tail fern; walking spleenwort,https://en.wikipedia.org/wiki/Asplenium_%C3%97_ebenoides,
Aster tataricus,Aster tataricus,Aster tataricus; Tatarinow's aster,https://en.wikipedia.org/wiki/Aster_tataricus,
Astrantia major,Astrantia major,Astrantia major; great masterwort,https://en.wikipedia.org/wiki/Astrantia_major,
Atriplex hortensis,Atriplex hortensis,Atriplex hortensis; garden orache; red orache; orache; orach; mountain spinach; French spinach; arrach,https://en.wikipedia.org/wiki/Atriplex_hortensis,
Azadirachta indica,Azadirachta indica,Azadirachta indica; neem; nimtree; Indian lilac; Neem oil,https://en.wikipedia.org/wiki/Azadirachta_indica,
Azolla filiculoides,Azolla filiculoides,Azolla filiculoides; water fern,https://en.wikipedia.org/wiki/Azolla_filiculoides,
Baccharis angustifolia,Baccharis angustifolia,Baccharis angustifolia; saltwater false willow; false willow,https://en.wikipedia.org/wiki/Baccharis_angustifolia,
Baptisia bracteata,Baptisia bracteata,Baptisia bracteata; longbract wild indigo; long-bract wild indigo; long-bracted wild indigo; cream false indigo,https://en.wikipedia.org/wiki/Baptisia_bracteata,
Baptisia tinctoria,Baptisia tinctoria,Baptisia tinctoria; yellow false indigo; wild indigo; wild-indigo; horseflyweed,https://en.wikipedia.org/wiki/Baptisia_tinctoria,
Basella alba,Basella alba,Basella alba; Malabar spinach; vine spinach; Ceylon spinach,https://en.wikipedia.org/wiki/Basella_alba,
Bassia scoparia,Bassia scoparia,Bassia scoparia; burningbush; ragweed; summer cypress; mock-cypress; kochia; belvedere; Mexican firebrush; Mexican fireweed,https://en.wikipedia.org/wiki/Bassia_scoparia,
Bauhinia blakeana,Bauhinia × blakeana,Bauhinia × blakeana; Hong Kong orchid tree; bauhinia; Hong Kong orchid,https://en.wikipedia.org/wiki/Bauhinia_%C3%97_blakeana,
Benincasa hispida,Wax gourd,Benincasa hispida; wax gourd; ash gourd; white gourd; winter gourd; tallow gourd; ash pumpkin; winter melon; Chinese preserving melon; (Alu) Puhul; Benincasa,https://en.wikipedia.org/wiki/Wax_gourd,
Berberis mentorensis,not found,not found,not found,
Berchemia scandens,Berchemia scandens,Berchemia scandens; Alabama supplejack,https://en.wikipedia.org/wiki/Berchemia_scandens,
Bergenia crassifolia,Bergenia crassifolia,Bergenia crassifolia; heart-leaved bergenia; heartleaf bergenia; leather bergenia; winter-blooming bergenia; elephant-ears; elephant's ears; Korean elephant-ear; badan; pigsqueak; Siberian tea; Mongolian tea; Bergenia cordifolia,https://en.wikipedia.org/wiki/Bergenia_crassifolia,
Berlandiera lyrata,Berlandiera lyrata,Berlandiera lyrata; chocolate flower; chocolate daisy; lyreleaf greeneyes,https://en.wikipedia.org/wiki/Berlandiera_lyrata,
Betula occidentalis,Betula occidentalis,Betula occidentalis; water birch; red birch,https://en.wikipedia.org/wiki/Betula_occidentalis,
Betula platyphylla,Betula platyphylla,Betula platyphylla; Japanese white birch; Siberian silver birch,https://en.wikipedia.org/wiki/Betula_platyphylla,
Betula populifolia,Betula populifolia,Betula populifolia; gray; grey birch,https://en.wikipedia.org/wiki/Betula_populifolia,
Bidens aurea,Bidens aurea,Bidens aurea ; Arizona beggarticks,https://en.wikipedia.org/wiki/Bidens_aurea,
Bixa orellana,Bixa orellana,Bixa orellana; Achiote; lipstick tree,https://en.wikipedia.org/wiki/Bixa_orellana,
Blephilia ciliata,Blephilia ciliata,Blephilia ciliata; downy wood mint; downy pagoda plant; sunny woodmint; Ohio horsemint,https://en.wikipedia.org/wiki/Blephilia_ciliata,
Blephilia hirsuta,Blephilia hirsuta,Blephilia hirsuta; hairy wood-mint; hairy pagoda plant,https://en.wikipedia.org/wiki/Blephilia_hirsuta,
Bletilla striata,Bletilla striata,Bletilla striata; hyacinth orchid; Chinese ground orchid,https://en.wikipedia.org/wiki/Bletilla_striata,
Blighia sapida,Ackee,ackee; achee; akee; ackee apple; ayee,https://en.wikipedia.org/wiki/Ackee,
Boehmeria nivea,Ramie,Ramie; China grass; Chinese plant; white ramie; green ramie; rhea,https://en.wikipedia.org/wiki/Ramie,
Boltonia decurrens,Boltonia decurrens,Boltonia decurrens; decurrent false aster; claspingleaf doll's daisy,https://en.wikipedia.org/wiki/Boltonia_decurrens,
Bombax ceiba,Bombax ceiba,Bombax ceiba; cotton tree; red silk-cotton; red cotton tree; silk-cotton; kapok,https://en.wikipedia.org/wiki/Bombax_ceiba,
Borago officinalis,Borage,Borage; Borago officinalis; starflower,https://en.wikipedia.org/wiki/Borage,
Borassus flabellifer,Borassus flabellifer,Borassus flabellifer; doub palm; palmyra palm; tala palm; toddy palm; wine palm; ice apple; Palmyra fruit; Tadi (ताडी); Thegalu; Gaygulu; Gengulu; Panai Kizhangu; Panangkizhangu; htabin myiq; Buragunju,https://en.wikipedia.org/wiki/Borassus_flabellifer,
Boykinia aconitifolia,Boykinia aconitifolia,Boykinia aconitifolia; Brook saxifrage; Allegheny brookfoam,https://en.wikipedia.org/wiki/Boykinia_aconitifolia,
Brachypodium sylvaticum,Brachypodium sylvaticum,Brachypodium sylvaticum; false-brome; slender false brome; wood false brome,https://en.wikipedia.org/wiki/Brachypodium_sylvaticum,
Brickellia eupatorioides,Brickellia eupatorioides,Brickellia eupatorioides; false boneset,https://en.wikipedia.org/wiki/Brickellia_eupatorioides,
Broussonetia papyrifera,Paper mulberry,paper mulberry; Broussonetia papyrifera; tapa cloth tree,https://en.wikipedia.org/wiki/Paper_mulberry,
Brugmansia candida,Brugmansia,Brugmansia; angel's trumpets,https://en.wikipedia.org/wiki/Brugmansia,
Brugmansia suaveolens,Brugmansia suaveolens,Brugmansia suaveolens; Brazil's white angel trumpet; angel's tears; snowy angel’s trumpet,https://en.wikipedia.org/wiki/Brugmansia_suaveolens,
Buddleja alternifolia,Buddleja alternifolia,Buddleja alternifolia; alternate-leaved butterfly-bush,https://en.wikipedia.org/wiki/Buddleja_alternifolia,
Butea monosperma,Butea monosperma,"Butea monosperma; flame-of-the-forest; bastard teak and free fire; Bastard Teak; Parrot Tree; Chichra tesu, desuka jhad, dhaak, palaash, chalcha, kankrei; PaLash; Kesudo; ) (Gujarati) Palashpapra; Muthuga (ಮುತ್ತುಗ); Kinshuk, Polash(পলাশ); Pauk; Polāx; Porasum, Parasu; Muriku, Shamata; Modugu; Khakda; Kela; Ploso; Semarkat Api",https://en.wikipedia.org/wiki/Butea_monosperma,
Buxus balearica,Buxus balearica,Buxus balearica; Balearic boxwood,https://en.wikipedia.org/wiki/Buxus_balearica,
Cabomba caroliniana,Cabomba caroliniana,Cabomba caroliniana,https://en.wikipedia.org/wiki/Cabomba_caroliniana,
Calamovilfa arcuata,Calamovilfa arcuata,Calamovilfa arcuata; Cumberland sandreed,https://en.wikipedia.org/wiki/Calamovilfa_arcuata,
Calla palustris,Calla,Calla; bog arum; marsh calla; wild calla; squaw claw; water-arum; Calla palustris,https://en.wikipedia.org/wiki/Calla,
Callicarpa dichotoma,Callicarpa dichotoma,Callicarpa dichotoma; purple beautyberry; early amethyst,https://en.wikipedia.org/wiki/Callicarpa_dichotoma,
Callicarpa japonica,Callicarpa japonica,Callicarpa japonica; East Asian beautyberry; Japanese beautyberry,https://en.wikipedia.org/wiki/Callicarpa_japonica,
Callirhoe alcaeoides,Callirhoe (plant),Callirhoe; poppy mallows,https://en.wikipedia.org/wiki/Callirhoe_(plant),
Callirhoe bushii,Callirhoe bushii,Callirhoe bushii; Bush's poppy-mallow,https://en.wikipedia.org/wiki/Callirhoe_bushii,
Callirhoe digitata,not found,not found,not found,
Callirhoe triangulata,not found,not found,not found,
Callistemon pallidus,Callistemon,Callistemon; bottlebrushes,https://en.wikipedia.org/wiki/Callistemon,
Callistemon rigidus,Callistemon,Callistemon; bottlebrushes,https://en.wikipedia.org/wiki/Callistemon,
Calotropis gigantea,Calotropis gigantea,Calotropis gigantea; crown flower,https://en.wikipedia.org/wiki/Calotropis_gigantea,
Calotropis procera,not found,not found,not found,
Calycanthus occidentalis,Calycanthus occidentalis,Calycanthus occidentalis; western sweetshrub,https://en.wikipedia.org/wiki/Calycanthus_occidentalis,
Calylophus serrulatus,Calylophus serrulatus,Calylophus serrulatus; yellow sundrops; halfshrub sundrop; serrate-leaved evening primrose; shrubby evening primrose; plains yellow primrose; halfleaf sundrop,https://en.wikipedia.org/wiki/Calylophus_serrulatus,
Camassia angusta,Camassia,Camassia; camas; quamash; Indian hyacinth; camash; wild hyacinth; xapi,https://en.wikipedia.org/wiki/Camassia,
Camassia cusickii,Camassia cusickii,Camassia cusickii; Cussick's camas,https://en.wikipedia.org/wiki/Camassia_cusickii,
Camassia leichtlinii,Camassia leichtlinii,Camassia leichtlinii; great camas; large camas,https://en.wikipedia.org/wiki/Camassia_leichtlinii,
Camassia scilloides,Camassia,Camassia; camas; quamash; Indian hyacinth; camash; wild hyacinth; xapi,https://en.wikipedia.org/wiki/Camassia,
