Plant url,Common name,Common Name - MBG,Botanical name,Botanical Name - MBG,Type,Family,Native range,Zone,Zone low,Zone high,Height,Height low,Height high,Unit,Spread,Spread low,Spread high,Unit,Bloom Time,Bloom Description,Sun,Water,Maintenance,Suggested Use,Flower,Attracts,Fruit,Leaf,Other,Tolerate,Culture,Noteworthy characteristics,Problems,Garden uses,Hummingbirds,Butterflies,Birds,Erosion,Rabbit,Black Walnut,Drought,Clay Soil,Deer,Dry Soil,Shallow-Rocky Soil,Heavy Shade,Wet Soil,Air Pollution
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=284981&isprofile=1&basic=Abies+fraseri,0,Fraser fir ,Abies fraseri,Abies fraseri,Needled evergreen,Pinaceae,Southeastern United States,4 to 7,4,7,30.00 to 50.00 feet,30,50,feet,10.00 to 25.00 feet,10,25,feet,Non-flowering,,Full sun to part shade,Medium,Medium,,,,," Fragrant, Evergreen",Winter Interest,,"
Culture
Best grown in rich, moist, slightly acidic, well-drained soils in full sun to part shade. Best in full sun. Trees grow poorly in heavy clay soils. Trees are native to cool, often foggy, mountain climates, and are not recommended for planting in the hot and humid summer conditions south of USDA Zone 7.
","
Noteworthy Characteristics
Abies fraseri, commonly called Fraser fir, is native to a very small area of the Appalachian Mountains in North Carolina and Tennessee extending into the southwestern corners of Virginia and West Viginia. It is typically found at elevations ranging from 4500’ to 6900’. It is the only fir that is indigenous to the Great Smoky Mountains National Park. Although rare in nature, Fraser fir is one of the most popular Christmas trees sold in commerce today, and is commonly grown in tree farms for that purpose. This is a narrow, pyramidal, evergreen conifer with a spire-like crown. It grows to 30-50’ tall over time with a spread of 10-25’. It is very similar to balsam fir (Abies balsamea), the primary difference being in the bracts of the cone scales. Flattened, shiny, dark green needles (to 1” long) are white-banded beneath. Needles are densely borne on resinous stems. Resin blisters may appear on the bark, giving rise to a regional common name of she-balsam for this tree. Seed cones are purple with conspicuously protruding bracts. As is distinctive with the firs, the cones appear upright on the branches.Genus name is an ancient Latin name for a tree described by Pliny around 77 A.D.Specific epithet and common name honor John Fraser (1750-1811), Scottish botanist and plant collector, who discovered this plant and introduced it to Britain.
","
Problems
No serious insect or disease problems. Balsam woolly adelgid has been responsible for killing a number of trees in the wild. Additional insect pests include bark beetles, spruce budworms, aphids, bagworms and scale. Spider mites may occur in hot conditions. Disease problems include root rots, needle rust and twig blight Trees are generally intolerant of urban pollution.
","
Garden Uses
Specimen fir for the landscape. Ornamental yard tree. Species is a popular commercially grown Christmas tree.
",,,,,,,,,,,,,,
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=284982&isprofile=1&basic=Abies+grandis,0,grand fir ,Abies grandis,Abies grandis,Needled evergreen,Pinaceae,Northwestern United States,5 to 6,5,6,100.00 to 250.00 feet,100,250,feet,20.00 to 35.00 feet,20,35,feet,Non-flowering,Non-flowering,Full sun to part shade,Medium,Medium,,,,," Fragrant, Evergreen",Winter Interest,,"
Culture
Best grown in rich, consistently moist, slightly acidic, well-drained soils in full sun to part shade.  Best growth typically occurs in deep, rich, alluvial soils in moist, cool locations such as the Pacific Northwest.  Performs poorly in most areas in the eastern U.S.   Grand fir is not recommended for planting south of USDA Zone 6.
","
Noteworthy Characteristics
Abies grandis, commonly called grand fir, is a large, evergreen fir with a spire crown in youth that typically rounds into a multiple-leadered dome with age.  It is native to moist coastal bottomlands and alpine slopes from sea level to 6000’ in elevation in the Pacific Northwest from southwestern British Columbia south to northern California and in a disjunct population in the Rocky Mountains from southeastern British Columbia to central Idaho and far northwestern Montana.  It will grow to 200-250’ tall with a 4-6’ trunk diameter in Pacific coniferous forests and alpine slopes in coastal areas west of the cascades (greatest height is in coniferous rain forests on the Olympic peninsula of Washington), but to 130-160’ with a 2-4’ trunk diameter in areas along the eastern slope of the Cascades in Washington and Oregon and in the Rocky Mountains.   This is one of the tallest firs in the world, hence the common name.  

Smooth gray bark develops ridges and furrows as it ages to brown.  Flat needles (to 2 1/2” long) are shiny dark green above with two white stomatal lines beneath.  Needles have blunt to slightly notched tips.  Needles emit a balsamy, tangerine-like aroma when crushed, hence the additional common name of stinking fir for this tree.  Cylindrical seed cones (to 4.5” long) stand upright above the needles near the tips of the upper branches, emerging green in spring, but maturing to yellowish-brown sometimes tinged blue-gray to purple.  Oblong pollen cones (to 1 1/4"" long) droop from the leaf axils under the needles.  Pollen cones are pale yellow.  As is distinctive with the firs, the upright seed cones disintegrate (scales drop) in fall after the seeds ripen.Genus name is an ancient Latin name for a tree described by Pliny around 77 A.D.Specific epithet is in reference to large tree size.
","
Problems
No serious insect or disease problems.  The balsam woolly adelgid is a significant problem in some areas.  Additional potential insect pests include bark beetles, spruce budworms, tussock moths, aphids, bagworms and scale.  Spider mites may occur in hot conditions.  Potential disease problems include cankers, heart rot, root rot, needle rust and twig blight.
","
Garden Uses
Large specimen fir for the landscape.
",,,,,,,,,,,,,,
Not found,0,0,Abies guatemalensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=285027&isprofile=1&basic=Abies+homolepis,0,Nikko fir ,Abies homolepis,Abies homolepis,Needled evergreen,Pinaceae,Central and southern Japan,4 to 6,4,6,30.00 to 50.00 feet,30,50,feet,20.00 to 30.00 feet,20,30,feet,Non-flowering,Non-flowering,Full sun to part shade,Medium,Medium,,,,,Evergreen,Winter Interest,,"
Culture
Easily grown in average, medium, well-drained soils in full sun to part shade. Thrives in cool climates, and does not grow well south of USDA Zone 6.
","
Noteworthy Characteristics
Abies homolepis, commonly called Nikko fir, is native to mountainous areas of Japan. It typically grows 30-50’ tall with a pyramidal habit. Needles (to 1.25” long) are glossy dark green above and have two white stomatal bands beneath. Needles are slightly notched at the tip. Purplish cones (to 4” long).Genus name is an ancient Latin name for a tree described by Pliny around 77 A.D.Specific epithet refers to the cone scales, which are of the same kind and size.
","
Problems
No serious insect or disease problems. Reportedly tolerates urban pollution better than most other firs.
","
Garden Uses
Large specimen fir for the landscape.
",,,,,,,,,,,,,,
Not found,0,0,Abies lasiocarpa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Not found,0,0,Abies lowiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Not found,0,0,Abies magnifica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Not found,0,0,Abies procera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Not found,0,0,Abies veitchii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Not found,0,0,Abietinella abietina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Not found,0,0,Abildgaardia ovata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Not found,0,0,Abroma augustum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Not found,0,0,Abronia alpina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Not found,0,0,Abronia ameliae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Not found,0,0,Abronia ammophila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Not found,0,0,Abronia angustifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Not found,0,0,Abronia argillosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Not found,0,0,Abronia bigelovii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Not found,0,0,Abronia bolackii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Not found,0,0,Abronia carletonii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Not found,0,0,Abronia elliptica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Not found,0,0,Abronia fragrans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Not found,0,0,Abronia gracilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Not found,0,0,Abronia insularis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Not found,0,0,Abronia latifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Not found,0,0,Abronia macrocarpa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Not found,0,0,Abronia maritima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Not found,0,0,Abronia mellifera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Not found,0,0,Abronia minor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Not found,0,0,Abronia nana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Not found,0,0,Abronia neurophylla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Not found,0,0,Abronia pogonantha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Not found,0,0,Abronia turbinata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Not found,0,0,Abronia umbellata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Not found,0,0,Abronia villosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Not found,0,0,Abrothallus bertianus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Not found,0,0,Abrothallus bryoriarum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Not found,0,0,Abrothallus cetrariae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Not found,0,0,Abrothallus cladoniae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Not found,0,0,Abrothallus parmeliarum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Not found,0,0,Abrothallus peyritschii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Not found,0,0,Abrothallus prodiens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Not found,0,0,Abrothallus welwitschii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Not found,0,0,Abrus precatorius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Not found,0,0,Absconditella sphagnorum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Not found,0,0,Absconditella trivialis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Not found,0,0,Abutilon abutiloides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Not found,0,0,Abutilon auritum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Not found,0,0,Abutilon berlandieri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Not found,0,0,Abutilon eremitopetalum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
